Accession Number,Collector Number,Genus,Species,Habitat,Determined By,UUID
A89887,PTM566,Bossiella,frondifera,"Low intertidal, exposed point",Patrick T. Martone and Katy R. Hind,CA5B0E84-2588-B54F-B71B-7412D07762CD
A89888,PTM567,Johansenia,macmillanii,"Low intertidal, in tidepool, exposed point",Katy R. Hind,E830100A-258E-784B-B522-115CB256A717
A89889,PTM568,Bossiella,hakaiensis,"Low intertidal, below tunicate, exposed point",Patrick T. Martone and Katy R. Hind,008FDFEE-A03A-FE48-8227-78F239B4A69C
A89914,PTM593,Coralline,NA,"Subtidal, on Balanus nubilus, exposed point",Katy R. Hind,45669655-A0EE-694D-8645-26A5791938D9
A89916,PTM595,Bossiella,sp.,"Subtidal, exposed point, deeply sagittate, exposed point",Patrick T. Martone and Katy R. Hind,BD453881-A30E-E149-B821-B98398A08A55
A89920,PTM599,Johansenia,macmillanii,"Subtidal, exposed point",Katy R. Hind,36DB988C-3457-3446-A296-2145E21D30F3
A89921,PTM600,Bossiella,sp.,"Subtidal, exposed point",Patrick T. Martone and Katy R. Hind,6BE68542-49B2-5549-BA53-6BD5F9492450
A89922,PTM601,Bossiella,hakaiensis,"Subtidal, exposed point",Patrick T. Martone and Katy R. Hind,14779E55-A553-B04B-B77F-EEB4FB3F5EC9
A89923,PTM602,Melobesia,mediocris,"Subtidal, exposed point",Katy R. Hind,300853E1-6C81-824C-B2C0-D09D740F4128
A89932,PTM611,Bossiella,orbigniana,Subtidal ,Katy R. Hind,82D55418-A895-D049-A454-D2B94902D9F0
A89954,PTM622,Coralline,NA,"Low intertidal, surge channel",Katy R. Hind,08E29096-AE2A-5F40-B7A8-6E8D917096C1
A89955,PTM623,Chiharaea,silvae,Low pool,Katy R. Hind,26BA2E74-CA37-3148-BCD3-DE37BD5C254F
A89956,PTM624,Bossiella,plumosa,Low pool,Katy R. Hind,C1EF8178-852D-554E-AEB9-5C75CD8CEB4F
A89957,PTM625,Chiharaea,silvae,Low pool,Katy R. Hind,DA33D1ED-2C44-EB4B-B8CC-01ECF57884C4
A89958,PTM626,Pseudolithophyllum,whidbeyense,Low surge channel,Katy R. Hind,768DAD88-F1C7-7E43-A1F0-B1EEF5E27F64
A89959,PTM627,Crusticorallina,muricata,Low pool,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",82D9573B-BAFE-DA44-B14E-E1BB732CC756
A89960,PTM628,Johansenia,macmillanii,Low pool,Katy R. Hind,AC4AFCF1-1866-884A-92A6-D409378E0737
A89961,PTM629,Corallina,sp.,Mid pool,Patrick T. Martone and Katy R. Hind,18E5BB8C-5C67-144E-A48C-62113C446853
A89962,PTM630,Lithothamnion,phymatodeum,Low intertidal surge channel,Katy R. Hind,5F8C3BB0-BF71-4F4A-AD10-C918D8468E34
A89963,PTM631,Crusticorallina,muricata,Low intertidal surge channel,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",4FECF064-4655-E444-B634-FECE3B309B8B
A89964,PTM632,Clathromorphum,reclinatum,Low pool,Katy R. Hind,49A46616-A8CA-DB4E-904F-BFE78DF6EC4A
A89965,PTM633,Crusticorallina,muricata,Low intertidal surge channel,"Katharine R. Hind, Paul W. Gabrielson, C.P. Jensen, Patrick T. Martone",73A2B609-429F-D746-98EE-7861F7458A48
A89966,PTM634,Bossiella,plumosa, ,Patrick T. Martone and Katy R. Hind,A900A0EE-0F76-D64E-9B1A-7073644FDCEC
A89967,PTM635,Bossiella,plumosa, ,Katy R. Hind,4788FEBF-367A-0840-95BB-E79585949009
A89968,PTM636,Bossiella,reptans, ,Patrick T. Martone and Katy R. Hind,80995135-5E9D-C34B-A6D9-E46D32A7E598
A89969,PTM637,Johansenia,macmillanii, ,Katy R. Hind,87AFF573-30D6-304C-9BC0-5D258736B02C
A89970,PTM638,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,1309C934-77D1-D54D-9397-5A7BB5AC3EDC
A89971,PTM639,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,DD9EA55A-9F22-004F-91D0-FB5F17FBEE07
A89972,PTM640,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,139739C2-749E-124B-8D4C-E2913BC23AC4
A89973,PTM641,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,417C473C-C427-8648-957F-44A26A21CD1D
A89974,PTM642,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,6A57F31E-82CB-624D-9D91-33F9DD30318C
A89975,PTM643,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,49072E96-ED18-0943-BA60-CAB3E30C4B0F
A89976,PTM644,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,335D5D69-EB98-0845-902A-3E15494F02AD
A89977,PTM645,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,DEAA909E-EC25-1242-9C3D-DA1FC737F48B
A89978,PTM646,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,20877820-8116-F84F-8FEC-6788C556B420
A89979,PTM647,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,A860EC60-DB4F-A84F-9D0E-FAA9359730FF
A89980,PTM648,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,87709FEB-335F-2D4B-A80D-A50523BC3264
A89981,PTM649,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,B325F554-B139-4E44-8D57-5E1E53EA7266
A89982,PTM650,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,79E4E362-3415-FE46-B6E7-4CE7D0403EB8
A89983,PTM651,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,B026CC7C-6CCB-E940-BE7C-FC9D3C962E80
A89984,PTM652,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,38662067-5559-B94D-8627-18C65DB01D2F
A89985,PTM653,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,DB68747B-0099-4940-A1A2-5139DAC7C905
A89986,PTM654,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,0FBD9B71-2AA9-B849-AE92-ED9388A9B3A8
A89987,PTM655,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,8A7C70FF-9870-914F-B58C-EADA2FFE20BF
A89988,PTM656,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,6EDFAC5B-7DCB-EB4B-83D6-1D1CCB0C9963
A89989,PTM657,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,437A41DF-43C6-1447-BF69-4C33CFA5342B
A89990,PTM658,Calliarthron,tuberculosum,Mid intertidal pools,Patrick T. Martone,F1C259E3-C4D2-3248-BAD4-3F83A4203D54
A89991,PTM659,Bossiella,dichotoma,Low intertidal,Patrick T. Martone,F4E8DF4C-5C55-DB4B-831A-385438FB8A83
A89992,PTM660,Corallina,caespitosa, ,Katy R. Hind,D57B2C4D-7364-9942-A976-BB27962FB01E
A89993,PTM661,Corallina,caespitosa, ,Katy R. Hind,A7F4D74E-A9FE-5D46-82E2-0BE6601E9063
A89994,PTM662,Amphiroa,sp., ,Katy R. Hind,16C3F649-35D8-E644-9E0B-AA149D990DBF
A89995,PTM663,Corallina,caespitosa, ,Katy R. Hind,7BFF8957-8836-A642-8605-E3556A2D1498
A89568,PTM217,Saccharina,sessilis,Low ,Laura M. Anderson,F2FF5318-C544-2A4C-AB3F-39AAB0B72CED
A89569,PTM218,Prionitis,sternbergii,Mid intertidal,Patrick T. Martone,35CAE781-7237-694A-AEDA-1AC6AC21AD6D
A89570,PTM219,Erythrophyllum,delesserioides,Low ,Patrick T. Martone,E9F5726E-25F5-1E4D-B778-FF9C49C11E02
A89571,PTM220,Saccharina,groenlandica,Low ,Patrick T. Martone,20B6DF5F-EF0F-684A-BFEE-4E9CD3957A72
A89572,PTM221,Nereocystis,luetkeana,Low ,Patrick T. Martone,3329F3E6-D2D5-2D41-9A64-24FA423A9246
A89574,PTM223,Macrocystis,pyrifera,Drift ,Patrick T. Martone,BFFE8BC9-C276-D243-942B-3EFA5204F9CB
A89575,PTM224,Desmarestia,ligulata,Drift ,Patrick T. Martone,ECFCB2EA-12CD-8F4C-A188-F45AB3DBB23A
A89576,PTM225,Laminaria,yezoensis,Low ,Patrick T. Martone,A7F00315-823B-D24D-9C2C-932BC1018DE2
A89578,PTM227,Egregia,menziesii,Low ,Patrick T. Martone,323D5B1F-829D-DE47-B3AA-4155062FB2DC
A89579,PTM228,Lessoniopsis,littoralis,Low ,Patrick T. Martone,2D69FB3F-E4E4-D640-BFF9-C6F059B648D2
A89585,PTM234,Scytosiphon,dotyii,High intertidal,Patrick T. Martone,367B1C57-9C6E-D14F-BB0B-F95639F0E27E
A89586,PTM235,Petalonia,fascia,High intertidal,Patrick T. Martone,98964402-2C92-5A40-9B88-EFBF5473658F
A89587,PTM236,Prionitis,sternbergii,Mid intertidal,Patrick T. Martone,EE94A9B0-FDA3-6049-9870-DF8C3568040A
A89588,PTM237,Hymenena,sp.,Low intertidal,Patrick T. Martone,B3E49770-1F23-D445-BD0D-88056050A5C5
A89590,PTM239,Cladophora,stimpsonii,High intertidal,Patrick T. Martone,46379FA8-FE56-5644-8C10-B0EA54BFFC5F
A89591,PTM240,Polyneura,latissima,Low intertidal,Patrick T. Martone,40243A63-6A96-AB47-A19C-E792D9CBAA54
A89592,PTM241,Cryptosiphonia,woodii,Mid intertidal,Patrick T. Martone,8A8FF474-6FBF-FA43-AF85-07115AF98F8E
A89593,PTM242,Derbesia,marina,Low intertidal,Patrick T. Martone,403658E3-C6AE-154F-8DF9-18341AEEEE64
A89594,PTM243,Halosaccion,glandiforme,Mid intertidal,Patrick T. Martone,BDB915F0-1C9D-294F-9D81-D0CEA7E3870C
A89595,PTM244,Ptilota,serrata,Low intertidal,Patrick T. Martone,6F5C0B17-FF80-A34E-A27A-BEC3EAA1ED2B
A89596,PTM245,Hymenena,sp.,Low intertidal,Patrick T. Martone,92A48045-17CC-0A43-98EB-18E8EB54FA16
A89597,PTM246,Porphyra,abbottiae,High intertidal,Patrick T. Martone,31A3C72C-BF64-B64F-9617-FF47B829BB10
A89598,PTM247,Porphyra,perforata,High intertidal,Patrick T. Martone,974AC383-FD61-2C4C-AF73-AF74508092F8
A89599,PTM248,Nemalion,elminthoides,Mid intertidal,Patrick T. Martone,2F5EC447-C878-6142-A3BC-432868B7791D
A89600,PTM249,Odonthalia,floccosa,Low intertidal,Patrick T. Martone,EC43D8B0-06D4-3D46-898F-FE2611E45DC7
A89601,PTM250,Neogastroclonium,subarticulatum,Low intertidal,Patrick T. Martone,0FA785CD-198F-9641-A5A1-D60F23C5A911
A89602,PTM251,Pterocladiella,caloglossoides,Low intertidal,Patrick T. Martone,462C89FF-3007-694B-8F8E-7CA3FB736527
A89603,PTM252,Neorhodomela,larix,Low intertidal,Patrick T. Martone,87FB8058-08B6-E04E-935A-5ACAD38B6BB5
A89604,PTM253,Polyneura,latissima,Low intertidal,Patrick T. Martone,97B91A32-C0FB-BC4D-9D15-00408EF87844
A89605,PTM254,Polysiphonia,pacifica,Low intertidal,Patrick T. Martone,83C9F2A0-AE3A-A844-8B59-CFCC8096C469
A89606,PTM255,Mazzaella,splendens,Low intertidal,Patrick T. Martone,5EBFAE9A-1D38-F442-96AE-172D1C81BA9A
A89607,PTM256,Palmaria,hecatensis,Low intertidal,Patrick T. Martone,F68E41C3-80B9-2245-9459-4AB47AEB506D
A89608,PTM257,Gracilaria,sp.,Drift ,Patrick T. Martone,EDAB325B-4558-6D4A-9374-61313CAB7A19
A89609,PTM258,Scytosiphon,lomentaria,High intertidal,Patrick T. Martone,754AF54C-E877-074B-895F-D1A1C17596E4
A89610,PTM259,Osmundea,spectabilis,Low intertidal,Patrick T. Martone,2DCE4329-19E5-2841-ACC4-9E3658342AA8
A89611,PTM260,Endocladia,muricata,Mid intertidal,Patrick T. Martone,E9C6E100-1F47-6E42-A75E-47E008FB31FE
A89612,PTM261,Acrosiphonia,arcta,Low intertidal,Patrick T. Martone,21F6ED68-D2A4-9F4A-8326-4C71C908140A
A89613,PTM262,Blidingia,minima,High intertidal,Patrick T. Martone,DA0F05DA-7903-8345-97AC-657C79798955
A89614,PTM263,Ulva,lactuca,Low intertidal,Patrick T. Martone,3F7204E7-8925-394F-8D21-56FA67A63AE0
A89615,PTM264,Codium,setchellii,Low intertidal,Patrick T. Martone,5F313386-061B-5D46-9B08-79DF599408D3
A89616,PTM265,Codium,fragile,Low intertidal,Patrick T. Martone,4B522B11-18E8-BC40-8740-D82239EFDF4C
A89617,PTM266,Hymenena,sp.,Low intertidal,Patrick T. Martone,30EC5132-7462-144D-A6C7-C0C0C566D73A
A89618,PTM267,Tokidadendron,bullatum,Low intertidal,Patrick T. Martone,646BCBC3-774B-0D49-9EE6-DB35AEB56B64
A89619,PTM268,Pterosiphonia,bipinnata,Mid intertidal,Patrick T. Martone,E4B9E586-3957-EA45-99E7-8CCE3A6A9F65
A89620,PTM269,Dilsea,californica,Low intertidal,Patrick T. Martone,E700A561-4CA0-BB4F-A6C0-6A2FB0874D37
A89621,PTM270,Mazzaella,parksii,High intertidal,Patrick T. Martone,969A5DF3-F2DE-D24A-99DE-1EF592DAB4F2
A89622,PTM271,Hymenena,sp.,"Low intertidal, exposed point",Patrick T. Martone,1E57C059-363E-F74D-B69F-E41118A74B1A
A89623,PTM272,Schizymenia,pacifica,"Low intertidal, exposed point",Patrick T. Martone,8A5FE5C1-877F-534E-BF7A-AA22ECDFDA26
A89624,PTM273,Constantinea,simplex,"Low intertidal, exposed point",Patrick T. Martone,1F439EDC-A711-6742-91DD-A4851F43267E
A89625,PTM274,Petrospongium,rugosum,"Low intertidal, exposed point",Patrick T. Martone,292E2FBD-B1BE-9045-AEA6-D6DD7C78B36D
A89626,PTM275,Callophyllis,sp.,"Low intertidal, exposed point",Patrick T. Martone,259673C4-70D5-E74F-A349-362CC814BC60
A89627,PTM276,Ceramium,garderni,Low tidepool,Patrick T. Martone,E4F8BD8A-50D9-E944-978D-AD8F559EFC79
A89628,PTM277,Neoptilota,hypnoides,"Low intertidal,  exposed point",Patrick T. Martone,E9C0AC4E-2AC5-014F-8858-DB71A97CA541
A89629,PTM278,Acrosiphonia,coalita,Low intertidal,Patrick T. Martone,3326E64B-E8A4-1044-B3E4-6B8ECD4F5EAB
A89630,PTM279,Neorhodomela,aculeata,High tidepool,Patrick T. Martone,8DE2F744-AD61-0D48-9120-E5917B7BCC38
A89632,PTM281,Petalonia,fascia,Mid intertidal,Patrick T. Martone,85D03B2D-FE94-4345-BF01-816FB355D7B4
A89633,PTM282,Pterochondria,woodii,Drift ,Patrick T. Martone,AA8B40F5-9A61-074B-8093-CF385219976C
A89634,PTM283,Microcladia,borealis,Mid intertidal,Patrick T. Martone,24ED9780-6C40-8545-9B9A-7F9A1D387E80
A89635,PTM284,Polysiphonia,hendryii,Mid intertidal,Patrick T. Martone,4241E4F0-D96D-9246-9F8F-D9D6FD961FA6
A89636,PTM285,Pylaiella,littoralis,Mid intertidal,Patrick T. Martone,EBCAAC9D-79A3-254F-966F-3F4EC2079C47
A89637,PTM286,Plocamium,violacium,Low intertidal,Patrick T. Martone,33C3FA2C-9DBE-9F48-97BE-ABBA859BDB6C
A89638,PTM287,Hymenena,sp.,Low intertidal,Patrick T. Martone,92C5682C-EE35-364C-AF1D-CF26FF06D86A
A89639,PTM288,Fucus,distichus,Mid intertidal,Patrick T. Martone,4ADC725B-150F-0141-93F7-AD37C0F26521
A89640,PTM289,Analipus,japonicus,Mid intertidal,Patrick T. Martone,7EFFA422-737D-B045-A36E-1284768DCFE4
A89641,PTM290,Leathesia,marina,Mid intertidal,Patrick T. Martone,33AECCCB-8BBA-B944-A975-6275EC5C76F5
A89642,PTM291,Saundersella,simplex,Mid intertidal,Patrick T. Martone,CE0A8DDD-7266-324F-9527-585E326FC67E
A89643,PTM292,Soranthera,ulvoidea,Mid intertidal tidepool,Patrick T. Martone,6243EB2A-F685-2346-BA8B-938C0B224534
A89645,PTM294,Cladophora,columbiana,Mid intertidal,Patrick T. Martone,1B9596B5-49DF-AA41-8B3D-E87420A85288
A89646,PTM295,Ulva,linza,Mid intertidal,Patrick T. Martone,7B4E9BD4-0B96-364B-A2A1-270F8D25CAB4
A89647,PTM296,Mastocarpus,rigidus,Mid intertidal,Patrick T. Martone,7886C801-4CA0-AF46-B210-7E57DB50F4D2
A89648,PTM297,Elachista,fucicola,Mid intertidal,Patrick T. Martone,B797C830-3BB3-8948-AE6A-5783E0906E15
A89649,PTM298,Mastocarpus,latissimus,Mid intertidal,Patrick T. Martone,4CC4E7A9-2A3A-2245-B406-9B50CE04050C
A89650,PTM299,Ptilota,tenuis,Low intertidal,Patrick T. Martone,D74CA89E-78FE-4D47-B09F-DFFD2905DC07
A89651,PTM300,Plocamium,violacium,Low intertidal,Patrick T. Martone,3CD16347-CBF0-9F47-8B03-9D9ACB74864C
A89652,PTM301,Ceramium,pacificum,Low intertidal,Patrick T. Martone,2B201F47-ADF2-4849-9C87-F8F99B416019
A89653,PTM302,Rhodochorton,purpureum,Low intertidal,Patrick T. Martone,8A4BEB04-A137-DC4F-9950-127C08DC6469
A89657,PTM347,Bangia,sp.,Mid intertidal,Patrick T. Martone,EC989390-43C9-D647-95FE-F9821A2E4503
A89658,PTM348,Analipus,japonicus,Upper mid tidepool submerged,Patrick T. Martone,B6D47DE4-68C5-9D49-BA7F-9ECFA2E74EBC
A89659,PTM349,Farlowia,mollis,"Mid intertidal, exposed point",Patrick T. Martone,0C9572CE-CD5E-D243-80DE-9DCF308454D1
A89710,PTM389,Membranoptera,dimorpha,"Low intertidal, exposed point",Patrick T. Martone,0590EF54-9CA0-2B46-943F-1D7DB0E5B673
A89711,PTM390,Membranoptera,sp.,"Low intertidal,exposed point",Patrick T. Martone,EB003C30-DFA7-CF41-8AD0-8CDB6AA47462
A89712,PTM391,Grateloupia,doryphora,"Low intertidal, exposed point",Patrick T. Martone,A61E4797-A691-8F4D-843E-A7ED8018AB19
A89713,PTM392,Hymenena,setchellii,Low intertidal,Patrick T. Martone,C89B54D6-5506-844B-8EF4-64D7DA72E936
A89714,PTM393,Hymenena,sp.,Low intertidal,Patrick T. Martone,210D32B6-A6A3-074B-A2C6-B62B8F2E5AE9
A89715,PTM394,Rhizoclonium,tortuosum,High intertidal,Patrick T. Martone,2AD9B6CE-5DA8-6342-B48F-B6E662C69B7C
A89716,PTM395,Gloiopeltis,furcata,High intertidal,Patrick T. Martone,4636E126-D5E2-4844-BD07-266C97157E13
A89717,PTM396,Antithamnion,defectum,Low intertidal,Patrick T. Martone,59636B20-D626-294A-82AA-A5D27538160C
A89718,PTM397,Polysiphonia,pacifica,High intertidal,Patrick T. Martone,D86086F1-94C1-6340-96F5-AA7D22EC3134
A89719,PTM398,Analipus,japonicus,High intertidal,Patrick T. Martone,F0A2618E-CB29-564A-8A49-CD2F5B0CB54E
A89720,PTM399,Plocamium,pacificum,"Low intertidal, exposped point",Patrick T. Martone,C5A1DE1B-3CA4-C643-9797-BE712ABC33B3
A89721,PTM400,Delesseria,decipiens,"Low intertidal, exposped point",Patrick T. Martone,E317DC53-5B1E-534E-A22D-EFBBEBB42E55
A89722,PTM401,Mastocarpus,pachenicus,"Low intertidal, exposped point",Patrick T. Martone,C21CFC04-6709-D649-9DBF-DA5A6230B969
A89723,PTM402,Smithora,naiadum,Low intertidal,Laura M. Anderson,398475CF-3C98-B54B-B3BC-4CC0F380C3D7
A89728,PTM407,Desmarestia,ligulata,"Subtidal, large boulders",Sandra C. Lindstrom,978013FB-A653-B244-8317-9D5A370A1D63
A89748,PTM427,Colpomenia,peregrina,"Subtidal, large boulders",Sandra C. Lindstrom,13BA0A07-02B5-4F4A-8609-6B6B7534C046
A89752,PTM431,Costaria,costata,"Subtidal, large boulders",Sam M. Starko,97D656B5-F32E-3043-AB6B-FD3C6174C1C0
A89753,PTM432,Dictyota,binghamiae,"Subtidal, large boulders",Sandra C. Lindstrom,F968BB9C-B5E9-854E-B0A7-92EBFB28A1F2
A89755,PTM434,Desmarestia,viridis,"Subtidal, large boulders",Sandra C. Lindstrom,BA27318D-0A64-C840-BBD4-00F2720FC1B9
A89757,PTM436,Cymathaere,triplicata,"Subtidal, large boulders",Sam M. Starko,DB46F4FA-EC02-6546-8D78-8C2AB4F87B7C
A89789,PTM468,Fryeella,gardneri,Subtidal ,Sandra C. Lindstrom,85CCD2E7-8289-6941-AB96-1826751A02B9
A89790,PTM469,Sparlingia,pertusa,Subtidal ,Sandra C. Lindstrom,9195A406-0453-E347-ACE9-BA2C8B2B4E0C
A89792,PTM471,Pugetia,firma,Subtidal ,Sandra C. Lindstrom,C4B7D4FC-7D0C-AA40-9EA4-566A90518A0C
A89793,PTM472,Opuntiella,californica,Subtidal ,Sandra C. Lindstrom,51A64553-33BF-6849-BFBE-306F5DCFF1EA
A89795,PTM474,Sparlingia,pertusa,Subtidal ,Sandra C. Lindstrom,5EF95F6A-20B7-EA4A-8617-87ECEBD14A9D
A89796,PTM475,Gloiocladia,laciniata,Subtidal ,Sandra C. Lindstrom,ED63403F-893B-FC4B-B445-F6C8AE819903
A89797,PTM476,Mazzaella,sp.,Subtidal ,Sandra C. Lindstrom,B0599CAB-C5ED-2C42-89C6-C1297182B63B
A89798,PTM477,Polyneura,latissima,Subtidal ,Sandra C. Lindstrom,1C03C26E-599D-9C4F-A526-60907E7DC94C
A89799,PTM478,Rhodymenia,sp.,Subtidal ,Sandra C. Lindstrom,9E1994F2-D52E-124D-92A5-2411DC82440A
A89800,PTM479,Saccharina,groenlandica,Subtidal ,Sam M. Starko,E98508E7-C7D5-924A-A2E6-6C8CC2408FBC
A89801,PTM480,Callophyllis,sp.,Subtidal ,Sandra C. Lindstrom,49AAF8CA-60F7-7142-902E-D184DFBB5C32
A89802,PTM481,Callophyllis,sp.,Subtidal ,Sandra C. Lindstrom,3ADE5AA6-1B84-A04D-9445-B5AC790DD821
A89803,PTM482,Callophyllis,sp.,Subtidal ,Sandra C. Lindstrom,06D7A8DF-2B22-0F4B-9E65-C17546C496E2
A89804,PTM483,Pyropia,gardneri,Subtidal ,Sandra C. Lindstrom,AF353ADE-8DE2-7B46-881D-15D1075F0729
A89805,PTM484,Pterygophora,californica,Subtidal ,Sandra C. Lindstrom,9DFE6A5A-6234-2947-A4C1-7C077C9AD024
A89811,PTM490,Acrochaetium,sp.,Low intertidal,Katy R. Hind,1798214C-99D6-6A44-8C95-C4E08184BA33
A89817,PTM496,Desmarestia,aculeata,Subtidal ,Sandra C. Lindstrom,2F274CF0-A32F-3340-8E94-965CAC405B90
A89818,PTM497,Dilsea,californica,Low intertidal,Sandra C. Lindstrom,55732095-B935-FB43-97B8-608C9B93FBC9
A89819,PTM498,Ceramium,pacificum,Low intertidal,Sandra C. Lindstrom,49131DB9-71EC-8743-AAA8-DE7C22EDD219
A89820,PTM499,Mazzaella,splendens,Low intertidal,Sandra C. Lindstrom,57718B7A-4A53-954B-ABBC-02D5813FB80F
A89821,PTM500,Mazzaella,californica,Low intertidal,Sandra C. Lindstrom,3AC9879D-A00F-0347-A4EB-219B4EFE51DF
A89822,PTM501,Neogastroclonium,subarticulatum,Low intertidal,Sandra C. Lindstrom,B9420438-C96D-A04A-8A33-CAF0F8464DE4
A89823,PTM502,Analipus,japonicus,Low intertidal,Sandra C. Lindstrom,A362DD95-4F2A-9842-BF79-78F5A082CF9E
A89824,PTM503,Callithamnion,pikeanum,Low intertidal,Sam M. Starko,6F629602-6239-2045-A4FE-22B43D90B703
A89825,PTM504,Melanosiphon,intestinalis,High intertidal,Sandra C. Lindstrom,D38383CE-A3D9-0B44-8639-260E0BDA12D6
A89826,PTM505,Phaeostrophion,irregulare,"Lower mid intertidal, surrounded by sand",Sam M. Starko,70CD6DC2-AA1F-CC45-B678-5123A93054C4
A89827,PTM506,Egregia,menziesii,Low intertidal,Sam M. Starko,5AE3A8F1-8B9D-E542-B1AD-B075125B25FB
A89828,PTM507,Ozophora,latifolia,Low intertidal,Sandra C. Lindstrom,42C3455A-B97D-C542-80AF-662A5B15098C
A89829,PTM508,Odonthalia,floccosa,Mid intertidal,Sandra C. Lindstrom,4D83419E-E4B0-2C46-9CCE-C2DB8FF479F1
A89830,PTM509,Fucus,distichus,Mid intertidal,Sam M. Starko,76FB0F30-EC83-EA43-9719-AB6C369E0726
A89831,PTM510,Fucus,distichus,Mid intertidal,Sam M. Starko,3E602871-39F3-5F43-BF38-118A671D6310
A89832,PTM511,Plocamium,violacium,Low intertidal,Sandra C. Lindstrom,2E91E51B-79B1-CD48-A4BC-46A91ADA80F6
A89833,PTM512,Sphacelaria,rigidula,High intertidal,Patrick T. Martone,7D567482-CFE0-4247-9176-C120B0D618B0
A89834,PTM513,Ectocarpus,commensalis,Low intertidal,Sandra C. Lindstrom,0D7F7D11-5249-0946-98F5-3E988558A7AF
A89845,PTM524,Callophyllis,sp.,Subtidal ,Sandra C. Lindstrom,8A9589BF-C0DF-1C41-BE03-3E6973A25B71
A89846,PTM525,Pugetia,firma,Subtidal ,Sandra C. Lindstrom,87E1E7B2-75E9-3E4E-9B95-ACF78709319D
A89847,PTM526,Hymenena,sp.,Subtidal ,Sandra C. Lindstrom,CB20B62D-5396-B342-AA66-5A519D82DD1C
A89848,PTM527,Nereocystis,luetkeana,Subtidal ,Katy R. Hind,6F8B9384-0CE0-9E4A-969C-F5774247E22B
A89850,PTM529,Salishia,sp.,Subtidal ,Sandra C. Lindstrom,2670F1A1-0CAB-344A-BA65-1222F399CA7A
A89853,PTM532,Polysiphonia,hendryi,Subtidal ,Sandra C. Lindstrom,D1429856-1FB8-C944-BE35-EE9C5ED2190B
A89854,PTM533,Macrocystis,pyrifera,Subtidal ,Katy R. Hind,EA8D3C2A-8A57-354E-B735-FDADFDCE27E3
A89855,PTM534,Agarum,fimbriatum,Subtidal ,Katy R. Hind,3C558297-1BE0-524A-9737-2F9A473F2B5A
A89856,PTM535,Polysiphonia,paniculata,Subtidal ,Sandra C. Lindstrom,E5FDF46C-DBC0-5948-A34A-F8A1976C7050
A89857,PTM536,Gloiocladia,laciniata,Subtidal ,Sandra C. Lindstrom,C8402218-2924-0A4A-B342-77FCDA38A270
A89858,PTM537,Saccharina,latissima,Subtidal ,Katy R. Hind,840DA19E-CAB8-2442-9E01-DA61586B3856
A89860,PTM539,Ceramium,pacificum,Subtidal ,Sandra C. Lindstrom,A5849EEC-24F6-764E-952A-63082A631419
A89861,PTM540,Callithamnion,acutum,Subtidal ,Sandra C. Lindstrom,EC840696-F7BA-404A-8004-7C12C12DF31F
A89862,PTM541,Gracilaria,sp.,Subtidal ,Sandra C. Lindstrom,C28F89A5-7E09-5847-8C56-6E67FB115FB7
A89863,PTM542,Pugetia,firma,Subtidal ,Sam M. Starko,552402BB-8C03-2044-846B-4A1F988C5AF3
A89864,PTM543,Antithamnion,defectum,Subtidal ,Katy R. Hind,22615433-1864-4E43-BD32-20DC016571D5
A89866,PTM545,Coilodesme,bulligera,Subtidal ,Katy R. Hind,69FFFFB2-7110-4240-AE25-5DA570166086
A89890,PTM569,Mastocarpus,pachenicus,"Low intertidal, exposed point",Sandra C. Lindstrom,66F0BEC6-8A18-B641-9E9E-C685E9B5BC8E
A89891,PTM570,Farlowia,mollis,"Low intertidal, exposed point",Sandra C. Lindstrom,0BA950B4-E10D-BE48-A244-F7F1FDD4899E
A89892,PTM571,Membranoptera,platyphylla,"Low intertidal, exposed point",Patrick T. Martone,A919FF5D-374B-424D-8148-3AA01B5C2E09
A89893,PTM572,Pikea,pinnata,"Low intertidal, exposed point",Patrick T. Martone,E09B89FF-14D7-9E4F-909E-78892A819F50
